iter	Accuracy	MultiClass
762	0.9771826733	0.07410573232
763	0.9771844161	0.0740909968
764	0.9772112205	0.07405676901
765	0.9772077348	0.07402308672
766	0.9772277128	0.07395297973
767	0.9772837261	0.0739303552
768	0.9772673788	0.07389683558
769	0.9772854689	0.07386361243
770	0.9772901875	0.07383821498
771	0.977320013	0.07379927174
772	0.9773433317	0.0737711642
773	0.9773298536	0.07374642336
774	0.9773327228	0.07372119987
775	0.9773571678	0.07370620976
776	0.9773665438	0.07367837855
777	0.9773373348	0.07366538079
778	0.9773571678	0.07363934049
779	0.9773717723	0.07360772612
780	0.9774330142	0.07357959973
781	0.9774364999	0.07355369026
782	0.9774171768	0.07353351185
783	0.9774596054	0.07351009041
784	0.9774637076	0.07348784199
785	0.9774869197	0.07346816816
786	0.9774793319	0.07343149815
787	0.9774991649	0.07341090474
788	0.9775201243	0.07339199981
789	0.9775405738	0.07336791151
790	0.977543443	0.07333336135
791	0.9775624011	0.07326258514
792	0.9775408253	0.07324034296
793	0.9775408253	0.07321897528
794	0.9775662902	0.07318553067
795	0.9775832539	0.07316049279
796	0.9776019606	0.07314702649
797	0.9775961156	0.07313521244
798	0.977611953	0.07312045092
799	0.9776619695	0.07309542393
800	0.9776700672	0.07305558405
801	0.977712709	0.07302863982
802	0.9777360277	0.0730100196
803	0.977742786	0.07296084824
804	0.9777859376	0.07294288671
805	0.977806897	0.07292626776
806	0.977806897	0.07289683109
807	0.9777888069	0.0728632186
808	0.9778756201	0.07283885275
809	0.9778167376	0.07281550566
810	0.9778190969	0.07279756171
811	0.977848154	0.07276632428
812	0.9778849508	0.07273780041
813	0.9778673705	0.07271437812
814	0.9779075465	0.07268796592
815	0.977922151	0.07266569536
816	0.9779256366	0.07263006553
817	0.977986262	0.07260927177
818	0.9779479739	0.07256415141
819	0.9779508431	0.07255176525
820	0.9779042057	0.07251813881
821	0.9779801586	0.07249221761
822	0.9779685752	0.07246790488
823	0.9779703181	0.07244464498
824	0.9779603256	0.07241985152
825	0.9779660641	0.07239926997
826	0.9780063465	0.07238536126
827	0.9779911256	0.07236278409
828	0.9780109586	0.07233879267
829	0.9780360201	0.07231561277
830	0.9779888728	0.07229742962
831	0.9780162936	0.0722657172
832	0.9780242848	0.07224859964
833	0.9780295133	0.07222055718
834	0.9780342319	0.07218171706
835	0.9780591869	0.07216310011
836	0.9780603133	0.07213365921
837	0.9780609297	0.07211439462
838	0.978083632	0.07208168676
839	0.9780825056	0.07206673372
840	0.9781583519	0.07204466037
841	0.9781647068	0.07202297984
842	0.9781634739	0.072002802
843	0.9781285718	0.07197550667
844	0.9781956587	0.07194315506
845	0.9781974015	0.07190607844
846	0.9782172345	0.07187224451
847	0.9782189773	0.07185552542
848	0.9782470146	0.07183890555
849	0.9782651048	0.07179952426
850	0.9782498838	0.07178274764
851	0.9783132719	0.07176490774
852	0.9783091698	0.07175101374
853	0.9783155246	0.0717318015
854	0.9783377169	0.07170873984
855	0.9783756401	0.07168240215
856	0.9783428389	0.07164920329
857	0.978316651	0.07162316477
858	0.9783242388	0.071590205
859	0.9783696433	0.07156923582
860	0.9783843543	0.07154217135
861	0.9784045907	0.07150414335
862	0.9783842478	0.07147670293
863	0.9784034643	0.07145984703
864	0.9784075664	0.07144300332
865	0.9783842478	0.07141810914
866	0.9784086928	0.07140084546
867	0.9784431303	0.07137627254
868	0.9784459995	0.07133789887
869	0.9785111304	0.07131112696
870	0.9785198446	0.07129232036
871	0.9785146161	0.07127395916
872	0.9785355755	0.07125798954
873	0.9785419304	0.07122907201
874	0.9785803635	0.07119882236
875	0.9785979437	0.07116649038
